Panjang_Awal(m),Panjang_Akhir(m),Keliling (cm),Diameter (cm),KUBIKASI 
"0,40 ","0,90",94,30,"0,03"
,,97,31,"0,03"
,,100,32,"0,03"
,,104,33,"0,03"
,,107,34,"0,03"
,,110,35,"0,03"
,,113,36,"0,04"
,,116,37,"0,04"
,,119,38,"0,04"
,,122,39,"0,04"
,,126,40,"0,05"
,,129,41,"0,05"
,,132,42,"0,05"
,,135,43,"0,06"
,,138,44,"0,06"
,,141,45,"0,06"
,,144,46,"0,06"
,,148,47,"0,07"
,,151,48,"0,07"
,,154,49,"0,07"
,,157,50,"0,08"
,,160,51,"0,08"
,,163,52,"0,08"
,,166,53,"0,08"
,,170,54,"0,09"
,,173,55,"0,09"
,,176,56,"0,09"
,,179,57,"0,10"
,,182,58,"0,10"
,,185,59,"0,10"
,,188,60,"0,11"
,,192,61,"0,11"
,,195,62,"0,12"
,,198,63,"0,12"
,,201,64,"0,12"
,,204,65,"0,13"
,,207,66,"0,13"
,,210,67,"0,14"
,,214,68,"0,14"
,,217,69,"0,14"
,,220,70,"0,15"
,,223,71,"0,15"
,,226,72,"0,16"
,,229,73,"0,16"
,,232,74,"0,16"
,,236,75,"0,17"
,,239,76,"0,17"
,,242,77,"0,18"
,,245,78,"0,18"
,,248,79,"0,18"
,,251,80,"0,19"
,,254,81,"0,20"
,,258,82,"0,20"
,,261,83,"0,21"
,,264,84,"0,21"
,,267,85,"0,22"
,,270,86,"0,22"
,,273,87,"0,23"
,,276,88,"0,23"
,,280,89,"0,24"
,,283,90,"0,24"
,,286,91,"0,25"
,,289,92,"0,25"
,,292,93,"0,26"
,,295,94,"0,27"
,,298,95,"0,27"
,,302,96,"0,28"
,,305,97,"0,28"
,,308,98,"0,29"
,,311,99,"0,29"
,,314,100,"0,30"
,,317,101,"0,31"
,,320,102,"0,31"
,,324,103,"0,32"
,,327,104,"0,33"
,,330,105,"0,33"
,,333,106,"0,34"
,,336,107,"0,34"
,,339,108,"0,35"
,,342,109,"0,36"
,,346,110,"0,36"
,,349,111,"0,37"
,,352,112,"0,38"
,,355,113,"0,38"
,,358,114,"0,39"
,,361,115,"0,40"
,,364,116,"0,41"
,,368,117,"0,42"
,,371,118,"0,43"
,,374,119,"0,44"
,,377,120,"0,45"
"1,00","1,90",94,30,0.07
,,97,31,0.08
,,100,32,0.08
,,104,33,0.09
,,107,34,0.09
,,110,35,0.10
,,113,36,0.10
,,116,37,0.11
,,119,38,0.12
,,122,39,0.12
,,126,40,0.13
,,129,41,0.13
,,132,42,0.14
,,135,43,0.15
,,138,44,0.15
,,141,45,0.16
,,144,46,0.17
,,148,47,0.17
,,151,48,0.18
,,154,49,0.19
,,157,50,0.20
,,160,51,0.20
,,163,52,0.21
,,166,53,0.22
,,170,54,0.23
,,173,55,0.23
,,176,56,0.24
,,179,57,0.25
,,182,58,0.26
,,185,59,0.27
,,188,60,0.28
,,192,61,0.29
,,195,62,0.30
,,198,63,0.31
,,201,64,0.31
,,204,65,0.32
,,207,66,0.33
,,210,67,0.34
,,214,68,0.35
,,217,69,0.36
,,220,70,0.38
,,223,71,0.39
,,226,72,0.40
,,229,73,0.41
,,232,74,0.42
,,236,75,0.43
,,239,76,0.44
,,242,77,0.45
,,245,78,0.46
,,248,79,0.48
,,251,80,0.49
,,254,81,0.50
,,258,82,0.51
,,261,83,0.52
,,264,84,0.54
,,267,85,0.55
,,270,86,0.56
,,273,87,0.57
,,276,88,0.59
,,280,89,0.60
,,283,90,0.61
,,286,91,0.63
,,289,92,0.64
,,292,93,0.66
,,295,94,0.67
,,298,95,0.68
,,302,96,0.70
,,305,97,0.71
,,308,98,0.73
,,311,99,0.74
,,314,100,0.76
,,317,101,0.77
,,320,102,0.79
,,324,103,0.80
,,327,104,0.82
,,330,105,0.83
,,333,106,0.85
,,336,107,0.87
,,339,108,0.88
,,342,109,0.90
,,346,110,0.92
,,349,111,0.93
,,352,112,0.95
,,355,113,0.97
,,358,114,0.97
,,361,115,1.00
,,364,116,1.03
,,368,117,1.05
,,371,118,1.07
,,374,119,1.09
,,377,120,1.12
,,380,121,1.15
,,383,122,1.18
,,386,123,1.21
,,390,124,1.24
,,393,125,1.28
,,396,126,1.31
,,399,127,1.34
,,402,128,1.38
,,405,129,1.43
,,408,130,1.48
"2,00","2,90",94,30,0.15
,,97,31,0.16
,,100,32,0.17
,,104,33,0.18
,,107,34,0.19
,,110,35,0.20
,,113,36,0.21
,,116,37,0.22
,,119,38,0.23
,,122,39,0.24
,,126,40,0.26
,,129,41,0.27
,,132,42,0.28
,,135,43,0.29
,,138,44,0.31
,,141,45,0.32
,,144,46,0.33
,,148,47,0.35
,,151,48,0.36
,,154,49,0.38
,,157,50,0.39
,,160,51,0.41
,,163,52,0.42
,,166,53,0.44
,,170,54,0.45
,,173,55,0.47
,,176,56,0.49
,,179,57,0.50
,,182,58,0.52
,,185,59,0.54
,,188,60,0.55
,,192,61,0.57
,,195,62,0.59
,,198,63,0.61
,,201,64,0.63
,,204,65,0.65
,,207,66,0.67
,,210,67,0.69
,,214,68,0.70
,,217,69,0.72
,,220,70,0.75
,,223,71,0.77
,,226,72,0.79
,,229,73,0.81
,,232,74,0.83
,,236,75,0.85
,,239,76,0.87
,,242,77,0.90
,,245,78,0.92
,,248,79,0.94
,,251,80,0.97
,,254,81,0.99
,,258,82,1.01
,,261,83,1.04
,,264,84,1.06
,,267,85,1.09
,,270,86,1.11
,,273,87,1.14
,,276,88,1.16
,,280,89,1.19
,,283,90,1.22
,,286,91,1.24
,,289,92,1.27
,,292,93,1.30
,,295,94,1.33
,,298,95,1.35
,,302,96,1.38
,,305,97,1.41
,,308,98,1.44
,,311,99,1.47
,,314,100,1.50
,,317,101,1.53
,,320,102,1.56
,,324,103,1.59
,,327,104,1.62
,,330,105,1.65
,,333,106,1.68
,,336,107,1.71
,,339,108,1.75
,,342,109,1.78
,,346,110,1.81
,,349,111,1.84
,,352,112,1.88
,,355,113,1.91
,,358,114,1.94
,,361,115,1.98
,,364,116,2.03
,,368,117,2.06
,,371,118,2.09
,,374,119,2.14
,,377,120,2.19
,,380,121,2.24
,,383,122,2.29
,,386,123,2.34
,,390,124,2.39
,,393,125,2.44
,,396,126,2.49
,,399,127,2.55
,,402,128,2.61
,,405,129,2.67
,,408,130,2.75
"3,00","3,90",119,38,0.36
,,122,39,0.37
,,126,40,0.39
,,129,41,0.41
,,132,42,0.43
,,135,43,0.45
,,138,44,0.47
,,141,45,0.49
,,144,46,0.51
,,148,47,0.53
,,151,48,0.55
,,154,49,0.57
,,157,50,0.60
,,160,51,0.62
,,163,52,0.64
,,166,53,0.67
,,170,54,0.69
